RecordedDate,song1,song2,song3,song4,song5,song6,song7,song8,song9,song10,song11,song12,song13,song14,song15,song16,song17,song18,song19,song20,song21,song22,song23,song24,song25,song26,song27,song28,song29,song30,song31,song32,song33,song34,song35,song36,song37,song38,ATTCHECK,ATTCHECK.r,song39,song40,song41,song42,song43,song44,song45,song46,song47,song48,song49,song50,CHOICE,describe,certain.liking,age,gender,gender‎‎.selfdescribe,OPTIONS
9/22/21 7:38,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,2,1,0,1,1,1,2,1,2,2,1,2,2,1,2,2,They were dancing,5,20,0,,22
9/22/21 7:41,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,0,1,2,1,1,1,1,1,1,1,2,1,1,2,"It was a political message almost at the beginnings, and then it was The Chicks singing and dances.",5,20,0,,11
9/22/21 8:00,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,1,0,1,1,2,1,2,2,1,1,1,1,2,1,2,Gotye as the main character in the mv and some art painting,6,21,0,,21
9/22/21 8:01,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,0,1,1,2,2,2,2,1,2,1,1,1,2,1,As the song goes up multiple scenes of emienms life shows up,7,21,1,,20
9/22/21 8:03,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,0,1,2,1,2,2,2,2,2,2,2,2,2,2,The screen remained the same red with a one in the middle,2,19,0,,37
9/22/21 8:10,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,1,2,2,1,2,1,2,2,It was a music video for one of the songs I chose I would listen to.,4,20,1,,22
9/22/21 9:01,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,0,1,2,1,2,1,2,2,1,1,2,1,1,1,Taylor Swift danced with multiple different people while singing.,5,19,1,,19
9/22/21 9:01,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,2,1,0,1,1,2,1,2,1,1,2,2,2,2,2,2,Rihanna does a lot of dancing in the video with the use of an Umbrella.,4,22,1,,26
9/22/21 9:15,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,it was a picture of Selena gomez and it had the lyrics of the song,5,22,0,,44
9/22/21 10:38,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,0,1,2,1,2,1,1,2,2,2,2,1,2,2,"Lil Nas X showed up in an urban neighborhood looking very country and out of place. But then, Billy Ray Cyrus came and took him to a country place in the town where they performed for a line dancing crowd.",6,19,0,,24
9/22/21 11:05,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,Eminem was walking around and it combined his music video and the story of his life that was in the movie about his life.,4,19,0,,44
9/22/21 11:22,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,0,1,1,1,1,1,1,2,1,1,1,2,2,2,"in the music video, adele was singing about trying to reach back to an old lover and apologize about the wrong she had done by them but they are never home or will pick up the phone. in the music video, it also was showing flashbacks of adele and her lover from when everything was all good between them.",4,21,0,,21
9/22/21 11:47,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1,1,1,2,1,2,I have watched the video before hence why I skipped it. But all Country music videos have the same themes or hardy-story which leads to a red solo cup and party scene.,3,20,0,,11
9/22/21 12:20,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,0,2,1,2,2,1,1,1,1,1,2,1,1,1,Miley sang,6,19,0,,16
9/22/21 12:21,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,She was trying to show that the boy was going to call her,6,19,1,,44
9/22/21 12:22,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,0,2,1,1,2,1,1,2,1,1,1,2,1,1,she sang,7,22,1,,15
9/22/21 12:27,1,2,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,0,1,2,2,1,1,1,1,2,1,1,1,1,2,"I watched harry styles in his music video ""adore you"" and it was kind of boring",7,19,0,,20
9/22/21 12:28,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,2,The music video had a lot of different scenes from cars to basketball. As the lyrics were sang the scenes in the video matched with what was being said.,5,20,1,,19
9/22/21 12:32,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,0,1,1,2,1,2,1,1,2,1,2,1,1,1,"Roddy Ricch flaunted money, skill, and status through multiple popular forms of entertainment.",7,19,1,,16
9/22/21 12:48,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,1,2,2,2,1,2,1,2,2,2,2,2,"The spice girls were what in appeared to be a hotel, making a rukous and challenging the status quo.",5,20,1,,39
9/22/21 13:17,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,2,1,2,They were singing and dancing,7,21,1,,16
9/22/21 13:27,2,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,0,1,1,2,2,2,2,1,2,2,1,1,2,2,photo with lyrics and music,5,20,1,,27
9/22/21 13:38,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,2,She was in a cheer uniform going to different places.,5,20,0,,10
9/22/21 13:51,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,0,1,1,2,1,1,1,1,1,1,1,2,1,1,"not really sure, one point they were in cars, then he was on a mattress, then in a boxed room?",3,19,0,,18
9/22/21 14:15,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,2,2,2,2,"There were several girls dancing to the song ""Sorry"" in clothes that could be described as neon and bright, but also with black and fishnet style clothing.",4,19,0,,41
9/22/21 14:25,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,0,1,1,2,1,1,1,1,1,2,1,1,1,1,"There were lots of people smoking weed, and there were lots of different people in different circumstances. All from different ages. Sometimes the actions of the characters would line up with the lyrics but other times their actions would be quite random. Also a common setting for all character was in the car, listing to the radio, singing tiny dancer.",5,19,1,,16
